word,label
أرامل,broken
أرائك,broken
أقارب,broken
أساور,broken
أماكن,broken
أنامل,broken
أصابع,broken
أظافر,broken
أفاعي,broken
أماسي,broken
أغاني,broken
أراضي,broken
أواني,broken
أراضي,broken
أحاسيس,broken
أسابيع,broken
أساطير,broken
أباريق,broken
أحاديث,broken
أماني,broken
أشجار,broken
أشعار,broken
أطفال,broken
أزهار,broken
أخبار,broken
أبطال,broken
أنهار,broken
أبراج,broken
أضواء,broken
أوقات,broken
أسماء,broken
ألحان,broken
أقلام,broken
أنهر,broken
أسباب,broken
أحجار,broken
أغصان,broken
أحمال,broken
أعشاش,broken
أحوال,broken
أثمار,broken
أبحار,broken
أحداث,broken
أصوات,broken
أكوار,broken
أسراج,broken
أبصال,broken
أكواب,broken
أغصان,broken
أغلام,broken
أفلاك,broken
أقراص,broken
أشعار,broken
أعلام,broken
أفراع,broken
أمواج,broken
أجناد,broken
أوراق,broken
أجداد,broken
أصناف,broken
أعمال,broken
أغنام,broken
أسعار,broken
أموال,broken
أطراف,broken
أقلام,broken
أظلال,broken
أنهار,broken
أشجار,broken
أطباق,broken
أكتاف,broken
أذهان,broken
أسماك,broken
أعشاش,broken
أقوال,broken
أزرار,broken
أكواب,broken
أحجار,broken
أقداح,broken
أعراض,broken
أطراف,broken
أكمام,broken
أفواه,broken
أعباء,broken
أجناس,broken
أقدام,broken
أمعاء,broken
أجفان,broken
أدوات,broken
أصوات,broken
أنواع,broken
أفكار,broken
ألواح,broken
أبناء,broken
أوزان,broken
أوراق,broken
أسباب,broken
أموال,broken
أعداد,broken
ألوان,broken
أعراس,broken
آثار,broken
أضرار,broken
أشياء,broken
أمثال,broken
أحوال,broken
أعداء,broken
أنواع,broken
أرجاء,broken
أعياد,broken
أفكار,broken
أحياء,broken
أسراب,broken
أبحاث,broken
الأنفاق,broken
أقطار,broken
أطياف,broken
أصداف,broken
أسرار,broken
أحلام,broken
أعواد,broken
أصوات,broken
أعشاش,broken
أقواس,broken
أنفاق,broken
أطباق,broken
أوراق,broken
أزرار,broken
أكواب,broken
أطواق,broken
أحمال,broken
أبقار,broken
أدراج,broken
أطلال,broken
أنغام,broken
أقماع,broken
أخبار,broken
أدوات,broken
أحداث,broken
أمواج,broken
أيام,broken
أنهار,broken
أنوار,broken
آراء,broken
أثواب,broken
أنباء,broken
أثواب,broken
أبواب,broken
أوقات,broken
أوصاف,broken
أجداد,broken
أعمام,broken
أكباد,broken
أعناق,broken
ألوان,broken
أقفال,broken
أقدام,broken
أنهار,broken
أبطال,broken
أفلام,broken
أفواه,broken
أبصار,broken
أزواج,broken
آذان,broken
أموات,broken
أسماء,broken
أصحاب,broken
أبناء,broken
أيام,broken
أهواء,broken
ءاباء,broken
أحياء,broken
أموال,broken
أنداد,broken
أسباب,broken
أعمال,broken
ألباب,broken
أضعاف,broken
أيمان,broken
أرحام,broken
أولاد,broken
أعناب,broken
أنصار,broken
أطياف,broken
أبعاد,broken
أحلام,broken
أضداد,broken
أرقام,broken
أدوار,broken
أسفار,broken
أصفار,broken
أوجاع,broken
أحقاد,broken
أشرار,broken
ألحان,broken
أشكال,broken
أنغام,broken
أوراق,broken
أعشاش,broken
أقواس,broken
أبراج,broken
أطباق,broken
أشغال,broken
