sentence,token,target,morph_weight,meaning,Blural-type,transliteration
الطّالِباتُ فِي الصَّفِّ الأَوَّلِ مُتَفُوِّقَاتٌ جِدًّا .,الطّالِباتُ,طالِبَات,فَاعِلات,Female students,جمع مؤنث سالم,TAlbAt
اجْتَمَعَتْ الطَّبيباتُ فِي غُرْفَةِ الِاجْتِماعاتِ . , الطَّبيباتُ,طبيبات,فَعِيلات,Female doctors,جمع مؤنث سالم,TbybAt
المُعَلِّماتُ يُقَدَّمْنَ دَوْراتٍ تَدْريبيَّةً عَبْرَ الإِنْتَرْنِتْ ., المُعَلِّماتُ,معلمات,مُفَعِّلات,Female teachers,جمع مؤنث سالم,mElmAt
إِنَّ الحَسَناتِ يُذْهِبْنَ السَّيِّئَاتِ ., الحَسَناتُ,حسناتِ,فَعَلات,Good deeds,جمع مؤنث سالم,HsnAti
 التَقَتْ الفَنَّانَاتُ فِي مَهْرَجانِ الفَنِّ الحَديثِ . ,الفَنَّانَاتُ,فنانات,فَعَّالات,Female artists,جمع مؤنث سالم,fnAnAt
الْمُؤَرِّخَاتُ يَدْرُسْنَ تَارِيخَ الشُّعوبِ القَديمَةِ .,الْمُؤَرَّخَاتُ,مؤرخات,مُفَعِّلات,Female historians,جمع مؤنث سالم,m&rxAt
 عَمِلَتْ الْمُهَنَّدَسَاتُ فِي تَصْميمِ الجِسْرِ الجَديدِ . ,الْمُهَنَّدَسَاتُ,مهندسات,مُفَعْلِلات,Female engineers,جمع مؤنث سالم,mhndsAt
الْمُتَرَجِّمَاتُ يَتَرَجْمِنُ المَقَالَاتِ مِنْ الإِنْجِليزيَّةِ .,الْمُتَرَجِّمَاتُ,مترجمات,مُفَعْلِلات,Female translators,جمع مؤنث سالم,mtrjmAt
الطَّاهِيَاتُ يَحْضُرْنَ المَأْكُولَاتِ لِوَجْبَةِ العِشاءِ . ,الطَّاهِيَاتُ,طاهيات,فَاعِلات,Female chefs,جمع مؤنث سالم,TAhyAt
 الرِّيَاضِيَّاتُ يَتَسابَقُن فِي البُطولَةِ الدّوَليَّةِ ., الرِّيَاضِيَّاتُ ,رياضيات,فِعَالِيَّات,Female athletes,جمع مؤنث سالم,ryADyAt
الكاتِباتُ يَكْتَبِنُ عَنْ قِصَصِ النَّجاحِ والْإِلْهامِ . , الكاتِباتُ,كاتبات,فَاعِلات,Female writers,جمع مؤنث سالم,kAtbAt
الْمُدَرَّبَاتُ يُقَدَّمْنَ نَصائِحَ قيمَةً لِلَّاعِبَاتٍ ., الْمُدَرَّبَاتُ,مدربات,مُفَعِّلات,Female coaches,جمع مؤنث سالم,mdrbAt
اَلْزُهُراتُ تَمْلَأُ الحَديقَةَ بِرَوائِحِها الجَميلَةِ ., اَلْزُهُراتُ,زهرات,فَعَلات,Flowers,جمع مؤنث سالم,zhrAt
 الْعَازِفَاتُ يُقَدَّمْنَ أَلْحَانَاتٍ سَاحِرَاتٍ فِي الحَفْلِ الموسيقيِّ . ,الْعَازِفَاتُ ,عَازِفات,فَاعِلات,female musicians,جمع مؤنث سالم,EaAzifAt
اَلْمُصَمِّماتُ يَبْتَكِرِنُ تَصَامِيمَ عَصْريَّةً وَجَديدَةً . , اَلْمُصَمِّماتُ ,مصممات,مُفَعِّلات,Female designers,جمع مؤنث سالم,mSmmAt
 العَدّاءاتُ يُشَارِكْنَ فِي سِباقِ الْمَارَاثُونِ .,العَدّاءاتُ,عداءات,فَعَّالات,Female runners,جمع مؤنث سالم,EdA'At
الباحِثاتُ يَبْحَثُنَ فِي أَبْحاثٍ جَديدَةٍ وَمُهِمَّةٍ . , الباحِثاتُ,باحثات,فَاعِلات,Female researchers,جمع مؤنث سالم,bAHvAt
المديرات يخططن لمستقبل الشركات.,الْمُدِيرَاتُ ,مديرات,فَعِيلات,Female managers,جمع مؤنث سالم,mdyrAt
قَامَتْ اَلْصَحَفيّاتُ بِتَغْطيَةِ الأَحْداثِ الأَخيرَةِ ., اَلْصَحَفيّاتُ,صحفيات,فَعِيلات,Female journalists,جمع مؤنث سالم,SHfyAt
السَّبَاحَاتُ يَتَدَرْبَنُ فِي حَمّامِ السِّباحَةِ يَوْمِيًّا .,السَّبَاحَاتُ,سباحات,فَعالات,Female swimmers,جمع مؤنث سالم,sbAHAt
الشاعرات يلقين شعرهن في المسابقة الكبرى.,الشاعرات,شاعرات,فَاعِلات,Female poets,جمع مؤنث سالم,$AErAt
المبدعات يُنتِجن أعمالًا فنية مبتكرة.,المبدعات,مبدعات,مُفْعِلات,Creative women,جمع مؤنث سالم,mbdEAt
التقت الناشطات في مؤتمر حقوق الإنسان.,الناشطات,ناشطات,فَاعِلات,Female activists,جمع مؤنث سالم,nA$TAt
فازتِ الطالباتُ المجتهداتُ في المسابقةِ العلميةِ.,المجتهداتُ,"مُجْتَهَدات
",مُفْتَعِلات,Hardworking,جمع مؤنث سالم,mujtahidat
حَضَرنَ الموظفاتُ مبكرًا إلى مقرِّ العملِ.,الموظفاتُ,موظفاتُ,مُفَعَّلات,Female employees,جمع مؤنث سالم,hndAt
تجولتِ السائحاتُ في شوارعِ المدينةِ القديمةِ بانبهار.,السائحاتُ,سائحاتُ,فَاعِلات,female tourists,جمع مؤنث سالم,rqyAt
شاهدت دجاجات في المزرعة.,دجاجات,دجاجات,فَعَلات,Hens,جمع مؤنث سالم,djAjAt
زرعت ورقات شجرية في الحديقة.,ورقات,ورقات,فَعَلات,Leaves,جمع مؤنث سالم,wrqAt
يفضل الناس شجرات التفاح على غيرها.,شجرات,شجرات,فَعَلات,Apple trees,جمع مؤنث سالم,$jrAt
جلبت مرضعات الأطفال الرضع إلى المركز الطبي.,مرضعات,مرضعات,مُفْعِلات,Female nurses,جمع مؤنث سالم,mrDEAt
قابلت طالقات في المحكمة بعد الظهر.,طالقات,طالقات,فَاعِلات,Divorced women,جمع مؤنث سالم,TAlqAt
وَلُودَاتٌ كَثيراتٌ فِي المَدينَةِ قَدْ أَصْبَحْنَ أُمَّهاتٍ .,ولودات,ولودات,فَعُولات,Women who give birth,جمع مؤنث سالم,wlwdAt
"سكنتِ الكلماتُ قلوبَ القارئاتِ كما يسكنُ النسيمُ بين أغصانِ الشجر.

", القارئاتِ,قارئاتِ,فَاعِلات,Memories,جمع مؤنث سالم,*kryAt
"أوصى النبيُّ بالرحمةِ في معاملةِ الأمهاتِ والجارِيات.

",الجارِيات,جارِيات,فَاعِلات,Hospitals,جمع مؤنث سالم,mst$fyAt
أحببت صحراوات واسعة وجدتها في الرحلة.,صحراوات,صحراوات,فَعْلاوَات,Deserts,جمع مؤنث سالم,SHrAwAt
حِسْنَاوَاتٌ يُقَدَّمْنَ عُرُوضًا مُدْهِشَةً فِي المَسْرَحِ .,حسناوات,حسناوات,فَعْلاوَات,Beautiful women,جمع مؤنث سالم,HsnAwAt
لاحَظَتْ سَمْرَاوَاتَ فِي الحَدائِقِ العامَّةِ .,سمراوات,سمراوات,فَعْلاوَات,Dark-skinned women,جمع مؤنث سالم,smrAwAt
"حافظتِ الصحابياتُ على تعاليمِ الإسلامِ بكلِّ صدقٍ وإخلاص.

", الصحابياتُ,صحابياتُ,فِعَالِيَّات,People named Hamza,جمع مؤنث سالم,HmzAt
"درستِ العالماتُ آثارَ التغيرِ المناخيِّ على البيئةِ بدقةٍ.

",العالماتُ,عالماتُ,فَاعِلات,People named Talha,جمع مؤنث سالم,TlHAt
"اكتشفتِ الفلكياتُ كوكبًا جديدًا باستخدامِ أحدثِ التلسكوبات.

",التلسكوبات,تلسكوبات,,People named Muawiya,جمع مؤنث سالم,mEAwyAt
شاهقات الجبال تحيط بالقرية من كل جانب.,شاهقات,شاهقات,فَاعِلات,Tall mountains,جمع مؤنث سالم,$AhqAt
باهضات الأسعار جعلت الكثير من الناس يشتكون.,باهضات,باهضات,فَاعِلات,Expensive things,جمع مؤنث سالم,bAhDAt
نادينا راسيات السفينة على الشاطئ.,راسيات,راسيات,فَاعِلات,Ships' hulls,جمع مؤنث سالم,rAsyAt
لم ينجح أحد في إكرامات العرض.,إكرامات,إكرامات,إِفْعَالَات,Honors,جمع مؤنث سالم,<krAmAt
اجتهادات الطلاب أكسبتهم تقدير المعلمين.,اجتهادات,اجتهادات,افْتِعَالَات,Efforts,جمع مؤنث سالم,AjthAdAt
اجتمع تفاعلات العوامل الطبيعية في تكوين المناظر.,تفاعلات,تفاعلات,تَفَاعُلات,Interactions,جمع مؤنث سالم,tfAElAt
استعملنا بروتينات جديدة في المشروع البحثي.,بروتينات,بروتينات,فُعِيلَات,Proteins,جمع مؤنث سالم,brwtynAt
تناولنا فيتامينات متعددة لحماية صحتنا.,فيتامينات,فيتامينات,فِعَالِينات,Vitamins,جمع مؤنث سالم,fytAmynAt
جمعت بعض وَرَقات الشجر لصنع عمل فني.,وَرَقات,وَرَقات,فَعَلات,Leaves,جمع مؤنث سالم,waraqAt
قطفنا أجمل ثَمَرات من الحديقة.,ثَمَرات,ثَمَرات,فَعَلات,Fruits,جمع مؤنث سالم,vamarAt
جمع الأطفال حَصَيَاتٍ ناعمة من الطريق.,حَصَيَات,حَصَيَات,فَعَلات,Stones,جمع مؤنث سالم,HaSayaAt
حصلت على أعلى دَرَجات في الامتحانات النهائية.,دَرَجات,دَرَجات,فَعَلات,Degrees,جمع مؤنث سالم,darajAt
الشَجَرات في الحديقة تُزهِر بألوانٍ جميلة.,الشَجَرات,شَجَرات,فَعَلات,Trees,جمع مؤنث سالم,$ajarAt
النَّاجِحات في المسابقة حصلن على جوائزٍ مميزة.,النَّاجِحات,ناجِحات,فَاعِلات,Successful women,جمع مؤنث سالم,nAjiHAt
الحمَامَات الطائرَات في السماء تبدو رائعة.,الحمَامَات,حمَامَات,فَعَالات,Doves,جمع مؤنث سالم,HmaAmaAt
الطَالبَات المتفوقات في الصف دومًا يجتهدن في دراستهن.,الطَالبَات,طَالبَات,فَاعِلات,Female students,جمع مؤنث سالم,TaAlbaAt
الحَائِزَات على المراكز الأولى في المنافسة تم تكريمهنّ.,الحَائِزَات,حَائِزَات,فَاعِلات,Winners,جمع مؤنث سالم,HaA}izaAt
الموظفات في الشركة يبذلن جهدًا كبيرًا لتطوير العمل.,الموظفات,موظفات,مُفَعَّلات,Female employees,جمع مؤنث سالم,mwZfAt
المُؤمنات يُؤدين الصلاة في المساجد بانتظام.,المؤمنات,مؤمنات,مُفْعِلات,Believing women,جمع مؤنث سالم,m&mnAt
المحاميات في المحكمة يتمتعن بخبرة كبيرة في القضايا القانونية.,المحاميات,محاميات,مُفاعِلات,Female lawyers,جمع مؤنث سالم,mHAmyAt
الرائدات في مجال الفضاء حققن إنجازات مذهلة.,الرائدات,رائدات,فَاعِلات,Female pioneers,جمع مؤنث سالم,rA}dAt
