sentence,token ,target,morph_weight,"BP_type
",meaning ,transliteration,
يُوجَدُ العَدِيدُ مِنَ المَخَابِزِ فِي الحَيِّ., المَخَابِزِ,مَخَابِز,مَفَاعِل,جمع كثرة,Bakeries,maxaAbizi,
يَهْوَى بَعْضُ النّاسِ تَرْبيَةَ الأَسْماكِ فِي الأَحْواضِ .,الأسماك,أسْمَاك,أَفْعَال,جمع قلة,Fishes,>somaAk,
يَقِيسُ الرِّيَاضِيُّ أَوْزَانَ الحَدِيدِ فِي التَّمَارِينِ.,أَوْزَانَ ,أَوْزَانَ ,أَفْعَال,جمع قلة,Weights,>awozaAna,
يُقَدِّمُ الأُسْتاذُ مُناصَحَ ثَمينَةً لِلطُّلَّابِ لِتَحْقِيقِ النَّجاحِ . ,مَنَاصِح,مَنَاصِح,مَفَاعِل,جمع كثرة,Advice,manaASiH,
يُقالُ إِنَّ المَجانينَ أَحْيَانًا يَرَوْنَ الحَقيقَةَ بِشَكْلٍ مُخْتَلِفٍ ., المَجانينَ,مجانين,مَفَاعِيل,جمع كثرة,Madmen,mjAnyn,
يَعيشُ النّاسُ فِي مَساكِنَ مُريحَةٍ وَمُجَهَّزَةٍ بِجَمِيعِ الخِدْمَاتِ .,مَسَاكِن,مَسَاكِن,مَفَاعِل,جمع كثرة,Homes,masaAkin,
يَعيشُ الرُّهْبانُ فِي صَوامِعَ صَغيرَةٍ لِلتَّأَمُّلِ والْعِبادَةِ ., صَوامِع, صَوامِع,فَوَاعِل ,جمع كثرة,Rakes,SawAmiE,
يَعْمَلُ اَلْمَزارِعونَ بِاسْتِخْدَامِ مَناجِلٍ حَديثَةٍ لِحَصْدِ المَحاصيلِ .,مَنَاجِل,مَنَاجِل,مَفَاعِل,جمع كثرة,Sickles,manaAjil,
يَعْمَلُ العُمَّالُ بِجِدٍّ فِي مَوْقِعِ البِنَاءِ.,العُمَّالُ,عُمَّالُ,فُعَّال,جمع كثرة ,Workers,Euma~Alu,
يَعْمَلُ العُمّالُ بِجِدٍّ فِي المَصْنَعِ لِضَمَانِ إِنْتاجِ السِّلَعِ بِأَعْلَى جَوْدَةٍ.,السِّلَعِ ,سِلَع,فِعَل,جمع كثرة,goods,silaE,
يَعْتَمِدُ الطُّلّابُ عَلَى اَلْمَصادِرِ المَوْثوقَةِ فِي أَبْحاثِهِمْ .,اَلْمَصادِرِ,مَصَادِر	,مَفَاعِل,جمع كثرة,Sources,maSaAdir,
يعتقد البعض أن الخَوارِق هي مجرد أساطير، بينما يراها آخرون حقائق.,الخَوارِق,خَوارِق,فَوَاعِل ,جمع كثرة,Silos,xawAriq,
يعتبر الكُتّاب مصدرًا هامًا لنقل الأفكار والثقافات إلى الأجيال القادمة., الكُتّاب, كُتَّاب,فُعَّال,جمع كثرة,Writers / Authors,kut~aAb,
يسعى العلماء إلى تحقيق مَقَاسِدَ علمية تفيد البشرية.,مَقَاسِد,مَقَاسِد,مَفَاعِل,جمع كثرة,Destinations,maqaAsid,
يستمتع المسافرون بمنظر مَرَافِئِ السفن الجميلة عند الغروب.,مَرَافِئ,مَرَافِئ,مَفَاعِل,جمع كثرة,Ports,maraAfi},
يستخدم العمال مَحَارِيقَ قوية في المصانع لصهر المعادن.,مَحَارِيق,مَحَارِيق,مَفَاعِيل,جمع كثرة,Burners,maHaAriyq,
يَسْتَخْدِمُ الطَّاهِي زُيُوتًا طَبِيعِيَّةً لِتَحْضِيرِ الأَطْبَاقِ الصِّحِّيَّةِ.,زُيُوتًا,زُيُوت,فُعُول ,جمع كثرة,Oils,zuyuwtFA,
يدير المدير العمل بمَنَاصِعَ دقيقة وفعالة.,مَنَاصِع,مَنَاصِع,مَفَاعِل,جمع كثرة,Sites,manaASiE,
يخوض اللاعبون مَنَافِسَ شرسة في البطولات الرياضية.,مَنَافِس,مَنَافِس,مَفَاعِل,جمع كثرة,Competitions,manaAfis,
يُخلّد التاريخ الأقوال الحكيمة للعظماء.,الأقوال,أقْوَال,أَفْعَال,جمع قلة,Sayings,>qowaAl,
يحمل التاريخ الإسلامي مَنَاقِبَ عظيمة للعلماء والقادة.,مَنَاقِب,مَنَاقِب,مَفَاعِل,جمع كثرة,Virtues,manaAqib,
يحفظ الجدّ العديد من الأشعار القديمة.,الأشعار,أشعار,أَفْعَال,جمع قلة,Poems,>$EAr,
يحرص الكُتّاب على تقديم أعمال أدبية تحمل أفكاراً عميقة ورسائل هادفة., الكُتّاب, كُتّاب,فُعَّال,جمع كثرة,Writers,kut~Ab,
يحرص الآباء على تربية الأبناء تربية صالحة.,الأبناء,أبْنَاء,أَفْعَال,جمع قلة,Children,>bonaA',
يَحْتَوِي السُّوقُ عَلَى صُنُوفٍ كَثِيرَةٍ مِنَ البَضَائِعِ., صُنُوفٍ, صُنُوف,فُعُول ,جمع كثرة ,Summons,Sunuwf,
يحب الأطفال اللعب مع الأصدقاء في الحديقة.,الأصدقاء,أصدقاء,"أَفْعِلاء
",جمع كثرة,Friends,>SdqA',
يجتمع القَُرَّاء في المكتبة للاستمتاع بقراءة الكتب الجديدة.,القَُرَّاء,قَُرَّاء,فُعَّال,جمع كثرة,Reciters,qauri~aA',
يجب على الجميع احترام الحقوق الأساسية للإنسان في جميع الأوقات.,الحقوق,حقوق,فُعُول ,جمع كثرة,Rights,Hqwq,
يجب توخي الحذر عند القيادة عند مَفَارِقِ الطُرق.,مَفَارِق,مَفَارِق,مَفَاعِل,جمع كثرة,Crossroads,mafaAriq,
يجب توخي الحذر عند اختيار مَسَالِكِ الطرق الجبلية.,مَسَالِك,مَسَالِك,مَفَاعِل,جمع كثرة,Paths,masaAlik,
يَجِبُ تَخْزِينُ اللُّحُومِ فِي دَرَجَاتِ حَرَارَةٍ مُنْخَفِضَةٍ., اللُّحُومِ ,لُحُوم,فُعُول ,جمع كثرة ,Meats,luHuwm,
يَجِبُ أَنْ يَتَعَلَّمَ الطِّفْلُ الحُرُوفَ.,الحُرُوفَ,حُرُوف,فُعُول ,جمع كثرة ,Letters,Huruwfa,
يَجِبُ أَنْ نُفَكِّرَ فِي مَنَافِعِ ٱلْآخَرِينَ, مَنَافِعِ, مَنَافِع,مَفَاعِل,جمع كثرة ,Benefits,manaAfiEi,
يَجِبُ أَنْ نَسْتَغِلَّ الفُرَصَ الذَهَبِيَّةَ عِندَ ظُهُورِهَا.,الفُرَصَ,فُرَصَ,فُعَل,جمع كثرة,Opportunities,furaSa,
يَجِبُ الحَذَرُ مِنْ أَخْطَارِ الطَّرِيقِ.,أَخْطَارِ,أَخْطَارِ,أَفْعَال,جمع قلة,Dangers,>axoTaAri,
يَجِبُ الاِلتِزَامُ بِجَمِيعِ شُرُوطِ العَقْدِ.,شُرُوطِ ,شُرُوط,فُعُول ,جمع كثرة ,Conditions,$uruwTi,
يتنافس التجار في الأسواق لعرض منتجاتهم, التجار,تُجَّار	,فُعَّال,جمع كثرة,Merchants,tuj~aAr,
يتم تصنيع الزجاج في مصانع مَكَاسِرِ خاصة لإعادة التدوير.,مَكَاسِرُ,مَكَاسِر,مَفَاعِل,جمع كثرة,Breakfasts,makaAsiru,
يتم تخزين الكتب في الأَقبِيَة تحت الارض لحمايتها من الرطوبه,الأَقبِيَة,أقبِيَة,أَفْعِلَة,جمع قلة,basements,>qbiyap,
يتم تخزين البضائع في المخازن لحين توزيعها.,المخازن,مخازن,مَفَاعِل,جمع كثرة,Warehouses,mxAzn,
يتم الاعتناء بالنباتات في مَشَاتِلَ مخصصة لحمايتها.,مَشَاتِل,مَشَاتِل,مَفَاعِل,جمع كثرة,Nurseries,ma$aAtil,
يتم اختيار مَنَاهِيرَ خاصة للاحتفالات الرسمية الكبرى.,مَنَاهِير,مَنَاهِير,مَفَاعِيل,جمع كثرة,Waterways,manaAhiyr,
يتحدث الطلاب عن مَقَارِبِ مختلفة لحل المشكلات العلمية.,مَقَارِب,مَقَارِب,مَفَاعِل,جمع كثرة,Approaches,maqaArib,
وقفنا أمام الشَّواهِق الجبلية التي تزين الأفق., الشَّواهِق,شَواهِق ,فَوَاعِل ,جمع كثرة,Molds,$awAhiq,
وقفت السفينة عند موانئ الدول المجاورة.,موانئ,موانئ,مَفَاعِل,جمع كثرة,Ports,mwAn},
وَقَفَ حُرَّاس  سٌعِندَ بَوَّابَةِ القَصْرِ لِحِمَايَتِهِ.,حُرَّاس,حُرَّاس,فُعَّال,جمع كثرة ,Guards,Hura~As,
وقف الشعب مع مَنَاصِرِ الحرية والعدالة.,مَنَاصِر,مَنَاصِر,مَفَاعِل,جمع كثرة,Handles,manaASir,
وقف السجين خلف قُضبان الحديد يفكر في مستقبله المجهول.,قُضبان,قُضبان,فُعْلان,جمع كثرة,Rods / Bars,quDbAn,
وقف الحراس أمام بوابة القصر لحمايته.,الحراس,حُرَّاس,فُعَّال,جمع كثرة,Guardians,Hur~aAs,
وقف الجنود في مَنَاكِبِ بعضهم بعضًا في العرض العسكري.,مَنَاكِب,مَنَاكِب,مَفَاعِل,جمع كثرة,Paths,manaAkib,
وقع العدو في مكايد الجيش.,مكايد ,مكايد,مَفَاعِل,جمع كثرة,Tricks,mkAyd,
وضعنا المعايير المناسبة لاختيار الموظفين الجدد.,المعايير,معايير,مَفَاعِيل,جمع كثرة,Standards,mEAyyr,
وضعنا الآمال على المشروع الجديد لتحقيق النجاح.,الآمال,آمال,"أَفْعَال
",جمع قلة,Hopes,|mAl,
وَضَعْتُ رِحَالِي فِي مَكَانٍ آمِنٍ قَبْلَ القِيَامِ بِالْمُغَامَرَةِ., رِحَالي, رِحَال,فِعَال,جمع كثرة,Travels,riHaAl,
"وَضَعَتِ الوَالِدَةُ الأَبَارِيقَ عَلَى الطَّاوِلَةِ لِتَقْدِيمِ الشَّايِ لِلزُّوَّارِ
", الأباريقَ,أَباريقَ,فَعَالِيل,جمع كثرة,Ewers / Pitchers, abariiq,
وَضَعَتِ المَنَادِيلُ الوَرَقِيَّةُ عَلَى الطَّاوِلَةِ لِلْعَشَاءِ., المَنَادِيلُ, مَنَادِيل,مَفَاعِيل,جمع كثرة,Tissues,manaAdiylu,
وضعت المكتبة كتباً جديدة في أرفف العرض.,أَرْفُف,أَرْفُفٌ,أَفْعُل,جمع قلة,Shelves,>arofufN,
وضعت المعلمة أربع مساطر على المكتب.,مساطر,مساطر,مَفَاعِل,جمع كثرة,Rulers,msATr,
وَضَعَتِ المُضِيفَةُ الأَقْدَاحَ عَلَى الطَّاوِلَةِ.,الأَقْدَاحَ,أَقْدَاحَ ,أَفْعَال,جمع قلة,Cups,>aqodaAHa,
وضعت الكتب في رفوف المكتبات.,رفوف,رفوف,فُعُول ,جمع كثرة ,Shelves,rfwf,
وَضَعْتُ الكُتُبَ فِي أَغْلِفَةٍ جَدِيدَةٍ لِلحِفَاظِ عَلَيْهَا., أَغْلِفَةٍ, أَغْلِفَةٍ,أَفْعِلَة,جمع قلة,Medals,>agolifapK,
وضعت الفوانيس على الطاولة لإضاءة المكان.,الفوانيس,فَوَانِيس,"فَواعِيل
",جمع كثرة,Lanterns,fawaAniysu,
وضعت الفتاة مخابئ الطعام في المطبخ.,مخابئ,مخابئ,مَفَاعِل,جمع كثرة,Hideouts,mxAb},
وضعت الفتاة أقراطها الذهبية في الصندوق.,أقراطها ,أقراط,"أَفْعَال
",جمع قلة,Earrings,>qrAT,
وضعت الفاكهة في السلال المصنوعة من القش لتوزيعها على الضيوف.,السلال ,سلال,فِعَال,جمع كثرة,Baskets,slAl,
وَضَعَتِ الطَّاهِيَةُ الطَّعَامَ فِي قُدُورٍ كَبِيرَةٍ., قُدُورٍ, قُدُور,فُعُول ,جمع كثرة ,Pots,quduwrK,
وَضَعَتِ الشَّرِكَةُ مَقَايِيسَ دَقِيقَةً لِجَوْدَةِ مُنْتَجَاتِهَا., مَقَايِيسَ , مَقَايِيس,مَفَاعِيل ,جمع كثرة ,Measures,maqaAyiysa,
وضعت الجدة الشاي في الأباريق الخزفية الجميلة.,الأباريق,أباريق,أَفَاعِيل,جمع كثرة,Pitchers,>bAryq,
وُضِعَتِ البَرَامِيلُ فِي الزَّاويةِ لِتَخْزِينِ النِّفْطِ.,البَرَامِيلُ,بَرَامِيلُ,فَعَالِيل ,جمع كثرة,Boxes,baraAmiylu,
وضعت الأم مَلاعِقَ على الطاولة.,مَلاعِق,مَلاعِق,مَفَاعِل,جمع كثرة,Spoons,malAEiq,
وضعت الأم في الفرن أربع فطائر.,فطائر,فطائر,فَعَائِل,جمع كثرة,Pies,fTA}r,
"وَضَعَتْ الأُمُّ الأَغْطِيَةَ عَلَى الأُسْرَةِ فِي الشِّتاءِ .
",الأَغْطِيَةَ,أَغْطِيَة,أَفْعِلَة,جمع قلة,Covers,>agoTiyap,
وضعت الأغطية على الأسِرَّة لتدفئة الأطفال في الليل.,الأغطية,أغطية,أَفْعِلَة,جمع قلة,Coverings,>gTyp,
"وَضَعَتْ الأَطْباقُ عَلَى الطّاوِلَةِ اسْتِعْدادًا لِلْعَشَاءِ .

", الأَطْباقُ, أَطْباق,أَفْعَال,جمع قلة,Dishes,>TobaAq,
وضعت الأسرة ثلاث مزهرات على الطاولة.,الأُسْرَّةُ,أَسْرَّة,أَفْعِلَة,جمع قلة,Family,>asor~ap,
وضعت أقنعة جديدة للأطفال في الحفل التنكري.,أقنعة ,أَقْنِعَةٌ,أَفْعِلَة,جمع قلة,Masks,>aqoniEapN,
وَضَعْتُ أَطْبَاقَ الطَّعَامِ عَلَى المَائِدَةِ.,أَطْبَاقَ,أَطْبَاقَ,أَفْعَال,جمع قلة,Covers,>aTobaAqa,
وَضَعَ الفَلَّاحُ أَسْيَاجًا حَوْلَ مَزْرَعَتِهِ لِحِمَايَتِهَا مِنَ الحَيَوَانَاتِ., أَسْيَاجًا, أَسْيَاج,أَفْعَال,جمع قلة,Fences,>asoyaAjFA,
وضع العالم القواعد الأساسية للغة.,القواعد,قَوَاعِد,فَوَاعِل,جمع كثرة,Bases,qawaAEid,
وضع الطالب جميع أدواته في أدراج مكتبه.,أدراج,أَدْرَاجٌ,أَفْعَال,جمع قلة,Drawers,>adoraAjN,
وضع الشاي في الأقداح الصغيرة., الأقداح,أقْدَاح,أَفْعَال,جمع قلة,Cups,>qodaAH,
وَضَعَ الحَدَّادُ المَطَارِقَ عَلَى الطَّاوِلَةِ بَعْدَ اِنْتِهَاءِ الوَظِيفَةِ.,المَطَارِقَ,مَطَارِق,مَفَاعِل,جمع كثرة ,Hammers,maTaAriqa,
وَضَّحَ المُعَلِّمُ النِّقَاطَ المُهِمَّةَ فِي الدَّرسِ., النِّقَاطَ ,نقاط,فِعَال,جمع كثرة ,Points,nqAT,
وصلنا إلى مخارج المدينة.,مخارج,مخارج,مَفَاعِل,جمع كثرة,Exits,mxArj,
وصلنا إلى القصود التي كانت مدرجة ضمن خطتنا السياحية.,القصود,قصود,فُعُول ,جمع كثرة,Purposes,qSwd,
وصلتنا الرسائل من جميع أنحاء العالم تهنئنا بالنجاح.,الرسائل,رسائل,فَعَائِل,جمع كثرة,Letters,rsA}l,
وَصَلَتْ مَرَاسِيلُ مِنَ ٱلْأَصْدِقَاءِ ٱلْبَعِيدِينَ,مَرَاسِيلُ,مَرَاسِيل,مَفَاعِيل,جمع كثرة ,Messages,maraAsiylu,
وَصَلَتْ أَخْبَارُ الفَرَحِ إِلَى مَسَامِعِ الجَمِيعِ بِسُرْعَةٍ.,مَسَامِعِ,مَسَامِع,مَفَاعِل,جمع كثرة ,Ears,masaAmiEi,
وصل ركاب القطار في ساعة متأخرة من الليل.,ركاب,رُكَّابٌ,"فُعَّال
",جمع قلة,Riders,ruk~aAbN,
وزعنا أَكْوَاباً على الضيوف.,أَكْوَاباً,أَكْوَاب,أَفْعَال,جمع قلة,Cups,>akowaAb,
وزعت الخرائط لتوضيح المخارج في حالة الطوارئ., الخرائط, خرائط,فَعَائِل,جمع كثرة,Maps,xrA}T,
وُزِّعَتِ الخَرَائِطُ لِتَوْضِيحِ المَخَارِجِ فِي حَالَةِ الطَّوَارِئِ.,المَخَارِجِ, مَخَارِج,مَفَاعِل,جمع كثرة ,Exits,maxaAriji,
وَزَّعَ المُعَلِّمُ الكِتَابَ إِلَى أَرْبَعَةٍ أَرْبَاعٍ لِيُسَهِّلَ قِرَاءَتَهُ.,أرباع,أرباع,أَفْعَال,جمع قلة,Quarters,>rbAE,
وزع العامل عدة أقماع لتنظيم المرور.,أقماع,أَقْمَاعٌ,أَفْعَال,جمع قلة,Cones,>aqomaAEN,
وردت أنباء جديدة عن نتيجة الانتخابات.,أنباء,أنباء,أَفْعَال,جمع قلة,News,>nbA',
وُجُوهُ ٱلْبَاسِمَةِ تَنْشُرُ ٱلسَّعَادَةَ فِي كُلِّ مَكَانٍ,وُجُوهُ,وُجُوه,فُعُول ,جمع كثرة,Faces,wujuwhu,
وُجِهَ الفريقُ بعدة عَرَاقِيل في طريقهِ نحو الفوز بالبطولة.,عَرَاقِيل,عَرَاقِيل,فَعَالِيل,جمع كثرة,Obstacles / Hurdles, araaqiil,
وجدنا حُرُوفاً محفورة على الجدران.,حُرُوفاً,حُرُوف,فُعُول ,جمع كثرة,Letters,Huruwf,
وجدنا بعض خواتم ذهبية مدفونة في الأرض.,خواتم,خَوَاتِم,"فَوَاعِل
",جمع كثرة,Rings,xawaAtimu,
وجدنا أَنْهُراً جارية في الغابة.,أَنْهُراً,أَنْهُر,أَفْعَال,جمع قلة,Rivers,>anohur,
وَجَدَ ٱلْحَارِسُ مَفَاتِيحَ ٱلْبَوَّابَةِ, مَفَاتِيحَ, مَفَاتِيح,مَفَاعِيل,جمع كثرة ,Keys,mafaAtiyHa,
واجه الشاب النوائب بشجاعة وإرادة قوية.,النوائب,نوائب,فَعَائِل,جمع كثرة,Debts,nwA}b,
