sentences,token ,target,morph_weight,"BP_type
",meaning ,transliteration
مُبَرْمِجُونَ يُطَوِّرُونَ التَّطْبِيقَاتِ الْحَدِيثَةَ.,مُبَرْمِجُونَ,مُبَرْمِجُونَ,مُفَعْلِلُونَ,جمع المذكر السالم,Programmers,"mubarmijUna
"
مُهَنْدِسُونَ يُشْرِفُونَ عَلَى الْمَشَارِيعِ الْكَبِيرَةِ.,مُهَنْدِسُونَ,مُهَنْدِسُونَ,مُفَعْعِلُونَ,جمع المذكر السالم,Engineers,muhandisUna
حِرَفِيُّونَ يَصْنَعُونَ الْمُنْتَجَاتِ الْيَدَوِيَّةَ.,حِرَفِيُّونَ,حِرَفِيُّونَ,فِعَلِيُّونَ,جمع المذكر السالم,Artisans,hirafiyyUna
صَحَفِيُّونَ يُنْقِلُونَ الْأَخْبَارَ بِالدِّقَّةِ.,صَحَفِيُّونَ,صَحَفِيُّونَ,فَعَلِيُّونَ,جمع المذكر السالم,Journalists,SaHafiyyUna
فَلَّاحُونَ يَزْرَعُونَ الْحُقُولَ بِاجْتِهَادٍ.,فَلَّاحُونَ,فَلَّاحُونَ,فَعَّالُونَ,جمع المذكر السالم,Farmers,fallAHUna
رَحَّالَون  يَسَافِرُونَ إِلَى بُلْدَانٍ بَعِيدَةٍ.,رَحَّالَون,رَحَّالَون,فَعَّالُونَ,جمع المذكر السالم,Travelers,raHHAlUna
مُحَامُونَ يُدَافِعُونَ عَنِ الْمُتَّهَمِينَ فِي الْمَحَاكِمِ.,مُحَامُونَ,مُحَامُونَ,مُفَاعُونَ,جمع المذكر السالم,Lawyers,muHAmUna
مُدَرِّسُونَ يُعَلِّمُونَ الْأَطْفَالَ فِي الْمَدَارِسِ.,مُدَرِّسُونَ ,مُدَرِّسُونَ ,مُفَعِّلُونَ,جمع المذكر السالم,Teachers,mudarrisUna
مُؤَرِّخُونَ يُوَثِّقُونَ الْأَحْدَاثَ التَّارِيخِيَّةَ.,مُؤَرِّخُونَ,مُؤَرِّخُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Historians,mu'arrikhUna
مُزَارِعُونَ يُرَبُّونَ الْمَزَارِعَ بِحِرْفِيَّةٍ.,مُزَارِعُونَ,مُزَارِعُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Farmers,muzAriEUna
